category,round,year,codprov,name_prov,listas,votos,electores
presi,gral,2011,NA,ARGENTINA,Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria),11865055,28918335
presi,gral,2011,NA,ARGENTINA,Binner - Morandini (Alianza Frente Amplio Progresista),3684970,28918335
presi,gral,2011,NA,ARGENTINA,Alfonsin - González Fraga (Alianza Unión Para El Desarrollo Social),2443016,28918335
presi,gral,2011,NA,ARGENTINA,Rodríguez Saa - Vernet (Alianza Compromiso Federal),1745354,28918335
presi,gral,2011,NA,ARGENTINA,Duhalde - Das Neves (Alianza Frente Popular),1285830,28918335
presi,gral,2011,NA,ARGENTINA,Altamira - Castillo (Alianza Frente De Izquierda Y De Los Trabajadores),503372,28918335
presi,gral,2011,NA,ARGENTINA,Carrió - Pérez (Coalición Cívica - Afirmación Para Una República Igualitaria),399685,28918335
presi,gral,2011,NA,ARGENTINA,Votos En Blanco,803362,28918335
presi,gral,2011,NA,ARGENTINA,Votos Nulos,225741,28918335
